Player,keepers_Nation,keepers_Pos,keepers_Squad,keepers_Comp,keepers_Age,keepers_Born,keepers_MP,keepers_Starts,keepers_Min,keepers_90s,keepers_GA,keepers_GA90,keepers_SoTA,keepers_Saves,keepers_Save%,keepers_W,keepers_D,keepers_L,keepers_CS,keepers_CS%,keepers_PKatt,keepers_PKA,keepers_PKsv,keepers_PKm,keepers_Save%_1,keepersadv_Nation,keepersadv_Pos,keepersadv_Squad,keepersadv_Comp,keepersadv_Age,keepersadv_Born,keepersadv_90s,keepersadv_GA,keepersadv_PKA,keepersadv_FK,keepersadv_CK,keepersadv_OG,keepersadv_PSxG,keepersadv_PSxG/SoT,keepersadv_PSxG+/-,keepersadv_/90,keepersadv_Cmp,keepersadv_Att,keepersadv_Cmp%,keepersadv_Att (GK),keepersadv_Thr,keepersadv_Launch%,keepersadv_AvgLen,keepersadv_Att_1,keepersadv_Launch%_1,keepersadv_AvgLen_1,keepersadv_Opp,keepersadv_Stp,keepersadv_Stp%,keepersadv_#OPA,keepersadv_#OPA/90,keepersadv_AvgDist
Nahuel Guzmán,ar ARG,GK,UANL,Liga MX,39-000,1986,17,17,"1,530",17.0,17,1.0,65,49,75.4,10,3,4,5,29.4,2,1,0,1,0.0,ar ARG,GK,UANL,Liga MX,39-000,1986,17.0,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oscar Jiménez,mx MEX,GK,León,Liga MX,36-121,1988,3,3,270,3.0,4,1.33,12,8,66.7,2,1,0,1,33.3,0,0,0,0,0.0,mx MEX,GK,León,Liga MX,36-121,1988,3.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miguel Jiménez Ponce,mx MEX,GK,Puebla,Liga MX,34-333,1990,19,19,"1,710",19.0,30,1.58,82,55,64.6,4,3,12,3,15.8,3,1,2,0,66.7,mx MEX,GK,Puebla,Liga MX,34-333,1990,19.0,30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julio José González,mx MEX,GK,UNAM,Liga MX,33-293,1991,13,13,"1,170",13.0,11,0.85,46,35,80.4,7,3,3,6,46.2,2,2,0,0,0.0,mx MEX,GK,UNAM,Liga MX,33-293,1991,13.0,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastián Jurado,mx MEX,GK,FC Juárez,Liga MX,27-135,1997,10,10,900,10.0,16,1.6,40,25,62.5,3,2,5,2,20.0,1,1,0,0,0.0,mx MEX,GK,FC Juárez,Liga MX,27-135,1997,10.0,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pablo Lara,mx MEX,GK,UNAM,Liga MX,19-226,2005,6,6,540,6.0,7,1.17,23,16,69.6,3,2,1,2,33.3,0,0,0,0,0.0,mx MEX,GK,UNAM,Liga MX,19-226,2005,6.0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Manuel García,mx MEX,GK,Toluca,Liga MX,32-041,1992,3,3,270,3.0,3,1.0,7,4,57.1,1,1,1,1,33.3,0,0,0,0,0.0,mx MEX,GK,Toluca,Liga MX,32-041,1992,3.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Mier,co COL,GK,Cruz Azul,Liga MX,24-268,2000,23,23,"2,070",23.0,19,0.83,54,35,66.7,16,5,2,9,39.1,1,1,0,0,0.0,co COL,GK,Cruz Azul,Liga MX,24-268,2000,23.0,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Moreno,mx MEX,GK,Pachuca,Liga MX,27-012,1998,21,21,"1,890",21.0,32,1.52,90,63,68.9,6,5,10,4,19.0,5,4,1,0,20.0,mx MEX,GK,Pachuca,Liga MX,27-012,1998,21.0,32,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Rangel Aguilar,mx MEX,GK,Guadalajara,Liga MX,24-351,2000,22,22,"1,980",22.0,20,0.91,71,54,73.2,9,6,7,9,40.9,3,1,2,0,66.7,mx MEX,GK,Guadalajara,Liga MX,24-351,2000,22.0,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesús Rodríguez,mx MEX,GK,Puebla,Liga MX,31-265,1993,4,4,360,4.0,8,2.0,19,11,57.9,1,1,2,1,25.0,0,0,0,0,0.0,mx MEX,GK,Puebla,Liga MX,31-265,1993,4.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrés Sánchez,mx MEX,GK,Atlético,Liga MX,27-130,1997,21,21,"1,814",20.2,29,1.44,80,53,65.0,8,3,10,3,14.3,2,1,1,0,50.0,mx MEX,GK,Atlético,Liga MX,27-130,1997,20.2,29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Santiago Hernández,mx MEX,GK,Atlas,Liga MX,27-285,1997,3,3,270,3.0,3,1.0,5,3,60.0,1,2,0,1,33.3,1,1,0,0,0.0,mx MEX,GK,Atlas,Liga MX,27-285,1997,3.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernando Tapia,mx MEX,GK,UANL,Liga MX,23-238,2001,3,3,270,3.0,2,0.67,17,15,88.2,2,1,0,1,33.3,0,0,0,0,0.0,mx MEX,GK,UANL,Liga MX,23-238,2001,3.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ezequiel Unsain,ar ARG,GK,Necaxa,Liga MX,29-338,1995,23,23,"2,070",23.0,36,1.57,106,74,69.8,6,6,11,6,26.1,4,4,0,0,0.0,ar ARG,GK,Necaxa,Liga MX,29-338,1995,23.0,36,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camilo Vargas,co COL,GK,Atlas,Liga MX,35-338,1989,20,20,"1,800",20.0,28,1.4,87,63,71.3,4,9,7,7,35.0,4,3,1,0,25.0,co COL,GK,Atlas,Liga MX,35-338,1989,20.0,28,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiago Volpi,br BRA,GK,Toluca,Liga MX,34-053,1990,19,19,"1,710",19.0,19,1.0,88,70,79.5,11,6,2,6,31.6,1,1,0,0,0.0,br BRA,GK,Toluca,Liga MX,34-053,1990,19.0,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
