Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls_1,stats_Ast_1,stats_G+A_1,stats_G-PK_1,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp_1,passing_Att_1,passing_Cmp%_1,passing_Cmp_2,passing_Att_2,passing_Cmp%_2,passing_Cmp_3,passing_Att_3,passing_Cmp%_3,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive_1,gca_PassDead_1,gca_TO_1,gca_Sh_1,gca_Fld_1,gca_Def_1,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl_1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
Juan Brunetta,ar ARG,MF,UANL,Liga MX,27-274,1997,21,16,"1,313",14.6,8,3,11,8,0,0,1,1,0.55,0.21,0.75,0.55,0.75,ar ARG,MF,UANL,Liga MX,27-274,1997,14.6,8,50,15,30.0,3.43,1.03,0.16,0.53,0.0,0,0,ar ARG,MF,UANL,Liga MX,27-274,1997,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,UANL,Liga MX,27-274,1997,14.6,0.0,0.0,0.0,0.0,0.0,0.0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,UANL,Liga MX,27-274,1997,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,UANL,Liga MX,27-274,1997,14.6,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,ar ARG,MF,UANL,Liga MX,27-274,1997,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,UANL,Liga MX,27-274,1997,21,"1,313",63,63.4,14.6,16,76,4,5,21,1,1.96,26,13,13,0.89,1.25,ar ARG,MF,UANL,Liga MX,27-274,1997,14.6,1,1,0,14,26,3,79,1,9,0.0,0.0,0
Gustavo Cabral,ar ARG,DF,Pachuca,Liga MX,39-119,1985,11,11,894,9.9,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,Pachuca,Liga MX,39-119,1985,9.9,0,4,0,0.0,0.4,0.0,0.0,0.0,0.0,0,0,ar ARG,DF,Pachuca,Liga MX,39-119,1985,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,Pachuca,Liga MX,39-119,1985,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,Pachuca,Liga MX,39-119,1985,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,Pachuca,Liga MX,39-119,1985,9.9,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,ar ARG,DF,Pachuca,Liga MX,39-119,1985,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,Pachuca,Liga MX,39-119,1985,11,894,81,43.2,9.9,11,81,8,0,0,1,0.73,15,19,-4,-0.4,-0.02,ar ARG,DF,Pachuca,Liga MX,39-119,1985,9.9,3,1,0,4,4,0,0,17,9,0.0,0.0,0
Luciano Cabral,cl CHI,"FW,MF",León,Liga MX,29-290,1995,15,13,"1,071",11.9,1,3,4,1,0,0,3,1,0.08,0.25,0.34,0.08,0.34,cl CHI,"FW,MF",León,Liga MX,29-290,1995,11.9,1,9,2,22.2,0.76,0.17,0.11,0.5,0.0,0,0,cl CHI,"FW,MF",León,Liga MX,29-290,1995,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,cl CHI,"FW,MF",León,Liga MX,29-290,1995,11.9,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,"FW,MF",León,Liga MX,29-290,1995,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,"FW,MF",León,Liga MX,29-290,1995,11.9,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,cl CHI,"FW,MF",León,Liga MX,29-290,1995,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,"FW,MF",León,Liga MX,29-290,1995,15,"1,071",71,51.7,11.9,13,75,5,2,45,0,1.2,15,12,3,0.25,0.7,cl CHI,"FW,MF",León,Liga MX,29-290,1995,11.9,3,1,0,13,14,2,36,2,6,0.0,0.0,0
Sebastián Cáceres,uy URU,DF,América,Liga MX,25-176,1999,7,6,433,4.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,América,Liga MX,25-176,1999,4.8,0,2,0,0.0,0.42,0.0,0.0,0.0,0.0,0,0,uy URU,DF,América,Liga MX,25-176,1999,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,América,Liga MX,25-176,1999,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,América,Liga MX,25-176,1999,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,América,Liga MX,25-176,1999,4.8,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,uy URU,DF,América,Liga MX,25-176,1999,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,América,Liga MX,25-176,1999,7,433,62,20.9,4.8,6,67,2,1,34,0,2.23,13,4,9,1.87,2.04,uy URU,DF,América,Liga MX,25-176,1999,4.8,0,0,0,3,8,0,1,9,8,0.0,0.0,0
Jhonder Cádiz,ve VEN,FW,León,Liga MX,29-196,1995,21,14,"1,302",14.5,10,2,12,9,1,2,4,0,0.69,0.14,0.83,0.62,0.76,ve VEN,FW,León,Liga MX,29-196,1995,14.5,10,55,25,45.5,3.8,1.73,0.16,0.36,0.0,1,2,ve VEN,FW,León,Liga MX,29-196,1995,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,ve VEN,FW,León,Liga MX,29-196,1995,14.5,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,FW,León,Liga MX,29-196,1995,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,FW,León,Liga MX,29-196,1995,14.5,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,ve VEN,FW,León,Liga MX,29-196,1995,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ve VEN,FW,León,Liga MX,29-196,1995,21,"1,302",62,62.9,14.5,14,82,5,7,22,1,1.48,19,19,0,0.0,0.23,ve VEN,FW,León,Liga MX,29-196,1995,14.5,4,0,0,23,27,12,6,1,7,0.0,0.0,0
José Caicedo,co COL,MF,UNAM,Liga MX,22-263,2002,23,23,"1,904",21.2,1,1,2,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09,co COL,MF,UNAM,Liga MX,22-263,2002,21.2,1,28,9,32.1,1.32,0.43,0.04,0.11,0.0,0,0,co COL,MF,UNAM,Liga MX,22-263,2002,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,co COL,MF,UNAM,Liga MX,22-263,2002,21.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,MF,UNAM,Liga MX,22-263,2002,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,MF,UNAM,Liga MX,22-263,2002,21.2,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,co COL,MF,UNAM,Liga MX,22-263,2002,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,MF,UNAM,Liga MX,22-263,2002,23,"1,904",83,92.0,21.2,23,83,18,0,0,0,1.68,29,20,9,0.43,0.97,co COL,MF,UNAM,Liga MX,22-263,2002,21.2,6,0,0,27,21,0,2,20,27,0.0,0.0,0
Cristian Calderón,mx MEX,DF,América,Liga MX,27-262,1997,17,13,"1,105",12.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,América,Liga MX,27-262,1997,12.3,0,5,2,40.0,0.41,0.16,0.0,0.0,0.0,0,0,mx MEX,DF,América,Liga MX,27-262,1997,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,América,Liga MX,27-262,1997,12.3,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,América,Liga MX,27-262,1997,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,América,Liga MX,27-262,1997,12.3,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,mx MEX,DF,América,Liga MX,27-262,1997,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,América,Liga MX,27-262,1997,17,"1,105",65,53.4,12.3,13,79,7,4,21,4,1.75,22,14,8,0.65,0.84,mx MEX,DF,América,Liga MX,27-262,1997,12.3,3,0,0,15,6,3,25,15,14,0.0,0.0,0
Francisco Calvo,cr CRC,DF,FC Juárez,Liga MX,32-217,1992,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,cr CRC,DF,FC Juárez,Liga MX,32-217,1992,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,cr CRC,DF,FC Juárez,Liga MX,32-217,1992,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,cr CRC,DF,FC Juárez,Liga MX,32-217,1992,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cr CRC,DF,FC Juárez,Liga MX,32-217,1992,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cr CRC,DF,FC Juárez,Liga MX,32-217,1992,3.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,cr CRC,DF,FC Juárez,Liga MX,32-217,1992,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cr CRC,DF,FC Juárez,Liga MX,32-217,1992,3,270,90,13.0,3.0,3,90,3,0,0,1,0.0,4,7,-3,-1.0,-0.45,cr CRC,DF,FC Juárez,Liga MX,32-217,1992,3.0,1,0,0,2,1,0,0,2,4,0.0,0.0,0
Raúl Camacho,mx MEX,FW,Mazatlán,Liga MX,22-328,2002,9,4,307,3.4,2,0,2,2,0,0,2,0,0.59,0.0,0.59,0.59,0.59,mx MEX,FW,Mazatlán,Liga MX,22-328,2002,3.4,2,8,3,37.5,2.35,0.88,0.25,0.67,0.0,0,0,mx MEX,FW,Mazatlán,Liga MX,22-328,2002,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,FW,Mazatlán,Liga MX,22-328,2002,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,FW,Mazatlán,Liga MX,22-328,2002,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,FW,Mazatlán,Liga MX,22-328,2002,3.4,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,mx MEX,FW,Mazatlán,Liga MX,22-328,2002,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,FW,Mazatlán,Liga MX,22-328,2002,9,307,34,14.8,3.4,4,62,0,5,12,7,1.33,2,1,1,0.29,0.8,mx MEX,FW,Mazatlán,Liga MX,22-328,2002,3.4,2,0,0,5,4,4,1,0,2,0.0,0.0,0
Hugo Camberos,mx MEX,"MF,FW",Guadalajara,Liga MX,18-204,2006,6,5,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,"MF,FW",Guadalajara,Liga MX,18-204,2006,4.3,0,11,5,45.5,2.54,1.15,0.0,0.0,0.0,0,0,mx MEX,"MF,FW",Guadalajara,Liga MX,18-204,2006,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,"MF,FW",Guadalajara,Liga MX,18-204,2006,4.3,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"MF,FW",Guadalajara,Liga MX,18-204,2006,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"MF,FW",Guadalajara,Liga MX,18-204,2006,4.3,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,mx MEX,"MF,FW",Guadalajara,Liga MX,18-204,2006,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"MF,FW",Guadalajara,Liga MX,18-204,2006,6,390,65,18.8,4.3,5,73,0,1,27,0,1.33,5,6,-1,-0.23,-0.77,mx MEX,"MF,FW",Guadalajara,Liga MX,18-204,2006,4.3,0,0,0,4,10,1,16,3,5,0.0,0.0,0
Diber Cambindo,co COL,FW,Necaxa,Liga MX,28-359,1996,22,20,"1,703",18.9,11,0,11,11,0,0,3,0,0.58,0.0,0.58,0.58,0.58,co COL,FW,Necaxa,Liga MX,28-359,1996,18.9,11,68,26,38.2,3.59,1.37,0.16,0.42,0.0,0,0,co COL,FW,Necaxa,Liga MX,28-359,1996,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,co COL,FW,Necaxa,Liga MX,28-359,1996,18.9,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,FW,Necaxa,Liga MX,28-359,1996,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,FW,Necaxa,Liga MX,28-359,1996,18.9,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,co COL,FW,Necaxa,Liga MX,28-359,1996,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co COL,FW,Necaxa,Liga MX,28-359,1996,22,"1,703",77,82.3,18.9,20,82,8,2,36,0,1.05,26,25,1,0.05,1.77,co COL,FW,Necaxa,Liga MX,28-359,1996,18.9,3,0,0,44,16,10,6,5,4,0.0,0.0,0
Diego Campillo,mx MEX,MF,FC Juárez,Liga MX,23-114,2001,21,17,"1,454",16.2,1,0,1,1,0,0,4,0,0.06,0.0,0.06,0.06,0.06,mx MEX,MF,FC Juárez,Liga MX,23-114,2001,16.2,1,14,3,21.4,0.87,0.19,0.07,0.33,0.0,0,0,mx MEX,MF,FC Juárez,Liga MX,23-114,2001,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,FC Juárez,Liga MX,23-114,2001,16.2,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,FC Juárez,Liga MX,23-114,2001,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,FC Juárez,Liga MX,23-114,2001,16.2,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,mx MEX,MF,FC Juárez,Liga MX,23-114,2001,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,FC Juárez,Liga MX,23-114,2001,21,"1,454",69,70.2,16.2,17,78,7,4,32,0,1.1,21,32,-11,-0.68,-0.24,mx MEX,MF,FC Juárez,Liga MX,23-114,2001,16.2,4,0,0,18,20,0,12,23,16,0.0,0.0,0
Sergio Canales,es ESP,MF,Monterrey,Liga MX,33-360,1991,23,23,"2,029",22.5,11,3,14,8,3,4,4,0,0.49,0.13,0.62,0.35,0.49,es ESP,MF,Monterrey,Liga MX,33-360,1991,22.5,11,75,33,44.0,3.33,1.46,0.11,0.24,0.0,3,4,es ESP,MF,Monterrey,Liga MX,33-360,1991,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,es ESP,MF,Monterrey,Liga MX,33-360,1991,22.5,0.0,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,MF,Monterrey,Liga MX,33-360,1991,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,MF,Monterrey,Liga MX,33-360,1991,22.5,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,es ESP,MF,Monterrey,Liga MX,33-360,1991,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,MF,Monterrey,Liga MX,33-360,1991,23,"2,029",88,98.0,22.5,23,88,16,0,0,0,1.62,34,27,7,0.31,0.31,es ESP,MF,Monterrey,Liga MX,33-360,1991,22.5,4,0,0,12,41,3,120,9,12,0.0,0.0,0
Luis Cárdenas,mx MEX,GK,Monterrey,Liga MX,31-148,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,Monterrey,Liga MX,31-148,1993,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mx MEX,GK,Monterrey,Liga MX,31-148,1993,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,Monterrey,Liga MX,31-148,1993,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,Monterrey,Liga MX,31-148,1993,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,Monterrey,Liga MX,31-148,1993,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,mx MEX,GK,Monterrey,Liga MX,31-148,1993,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,Monterrey,Liga MX,31-148,1993,3,270,90,13.0,3.0,3,90,3,0,0,20,1.78,4,3,1,0.33,0.03,mx MEX,GK,Monterrey,Liga MX,31-148,1993,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
Rafael Carioca,br BRA,MF,UANL,Liga MX,35-237,1989,16,14,"1,143",12.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,br BRA,MF,UANL,Liga MX,35-237,1989,12.7,0,6,1,16.7,0.47,0.08,0.0,0.0,0.0,0,0,br BRA,MF,UANL,Liga MX,35-237,1989,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,br BRA,MF,UANL,Liga MX,35-237,1989,12.7,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,MF,UANL,Liga MX,35-237,1989,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,MF,UANL,Liga MX,35-237,1989,12.7,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,br BRA,MF,UANL,Liga MX,35-237,1989,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,br BRA,MF,UANL,Liga MX,35-237,1989,16,"1,143",71,55.2,12.7,14,79,7,2,16,4,2.18,23,11,12,0.94,1.14,br BRA,MF,UANL,Liga MX,35-237,1989,12.7,1,0,0,10,21,0,9,7,21,0.0,0.0,0
